datetime,time,tem,dew_point,humidity,pressure,wind_dr,wind_sp,condition
2017/3/22,8,18,17,89,1015,1,2,9
2017/3/22,9,20,17,83,1014,16,6,9
2017/3/22,10,20,17,83,1015,16,6,3
2017/3/22,11,19,17,87,1015,2,3,9
2017/3/22,12,20,17,83,1014,16,5,9
2017/3/22,13,21,17,78,1013,13,5,9
2017/3/22,14,19,17,79,1013,15,2,5
2017/3/22,15,21,17,78,1012,16,5,9
2017/3/22,16,21,17,78,1012,13,4,9
2017/3/22,17,20,18,86,1013,1,1,5
2017/3/22,18,20,18,88,1013,5,2,9
2017/3/22,19,20,18,88,1013,13,4,10
2017/3/22,20,19,18,97,1014,3,1,9
2017/3/22,21,20,19,94,1014,4,3,3
2017/3/22,22,20,19,94,1015,2,3,8
2017/3/22,23,19,19,98,1015,15,1,1
2017/3/23,0,20,18,88,1014,16,3,3
2017/3/23,1,20,18,88,1014,3,2,8
2017/3/23,2,19,18,91,1014,15,2,1
2017/3/23,3,20,18,88,1014,1,2,8
2017/3/23,4,20,18,88,1013,16,2,3
2017/3/23,5,19,18,92,1014,2,1,1
2017/3/23,6,20,18,88,1014,6,1,3
2017/3/23,7,21,18,83,1014,2,2,8
2017/3/23,8,20,20,96,1015,3,1,1
2017/3/23,9,22,19,83,1016,2,2,8
2017/3/23,10,22,19,83,1016,10,2,8
2017/3/23,11,23,20,80,1016,3,1,8
2017/3/23,12,23,20,83,1016,7,2,8
2017/3/23,13,24,19,73,1015,7,2,3
2017/3/23,14,25,21,73,1014,16,2,3
2017/3/23,15,23,19,78,1013,10,3,3
2017/3/23,16,23,20,83,1013,10,4,3
2017/3/23,17,24,18,62,1013,2,1,3
2017/3/23,18,22,19,83,1013,10,2,4
2017/3/23,19,22,19,83,1013,11,3,3
2017/3/23,20,22,18,73,1015,3,2,3
2017/3/23,21,23,17,69,1015,16,4,3
2017/3/23,22,23,17,69,1015,16,5,3
2017/3/23,23,22,19,78,1016,1,2,2
2017/3/24,0,22,18,78,1016,16,4,3
2017/3/24,1,22,18,78,1016,16,4,3
2017/3/24,2,21,20,92,1016,1,1,2
2017/3/24,3,22,19,83,1015,5,4,3
2017/3/24,4,22,18,78,1015,16,4,3
2017/3/24,5,20,19,90,1016,1,2,2
2017/3/24,6,22,18,78,1015,16,3,3
2017/3/24,7,21,18,83,1016,16,4,3
2017/3/24,8,20,18,79,1017,1,3,4
2017/3/24,9,24,18,69,1016,13,8,5
2017/3/24,10,25,17,61,1017,12,6,5
2017/3/24,11,23,17,64,1017,1,4,4
2017/3/24,13,24,19,73,1015,8,3,5
2017/3/24,14,25,18,56,1015,5,2,2
2017/3/24,15,24,19,73,1013,9,4,5
2017/3/24,16,24,19,73,1013,9,3,5
2017/3/24,17,24,18,61,1014,1,1,2
2017/3/24,18,22,19,83,1014,10,3,5
2017/3/24,19,22,19,83,1014,10,4,5
2017/3/24,20,21,19,86,1015,2,1,2
2017/3/24,21,22,19,83,1015,12,5,5
2017/3/24,22,22,18,78,1016,13,4,7
2017/3/24,23,21,19,89,1016,1,2,2
2017/3/25,0,22,18,78,1015,16,4,7
2017/3/25,1,22,18,78,1015,5,2,7
2017/3/25,2,20,19,90,1016,15,2,2
2017/3/25,3,22,18,78,1015,1,2,3
2017/3/25,4,22,19,83,1015,6,1,3
2017/3/25,5,20,19,91,1015,15,1,2
2017/3/25,6,21,19,88,1015,10,1,3
2017/3/25,7,21,19,88,1016,6,1,3
2017/3/25,8,22,20,88,1017,9,1,3
2017/3/25,9,23,19,78,1017,1,3,3
2017/3/25,10,22,18,78,1018,15,5,3
2017/3/25,11,22,20,81,1018,14,1,8
2017/3/25,12,20,15,73,1018,3,7,3
2017/3/25,13,18,14,77,1018,15,8,3
2017/3/25,14,20,15,67,1017,15,4,8
2017/3/25,15,17,13,77,1017,3,8,3
2017/3/25,16,18,13,73,1017,3,6,3
2017/3/25,17,18,13,65,1017,4,2,8
2017/3/25,18,17,12,72,1017,3,7,8
2017/3/25,19,17,11,68,1018,1,7,8
2017/3/25,20,17,11,60,1019,4,3,8
2017/3/25,21,14,12,88,1021,15,6,10
2017/3/25,22,14,12,88,1021,3,6,10
2017/3/25,23,15,12,82,1021,4,2,2
2017/3/26,0,14,11,82,1021,3,5,8
2017/3/26,1,14,11,82,1021,3,5,10
2017/3/26,2,14,11,76,1021,4,3,2
2017/3/26,3,14,11,82,1020,3,6,10
2017/3/26,4,14,11,82,1020,15,6,8
2017/3/26,5,13,12,87,1021,14,3,2
2017/3/26,6,13,11,88,1021,3,6,10
2017/3/26,7,13,10,82,1022,3,6,8
