direction							
1	3039							
1	2947							
1	2684							
1	2693							
1	2842							
1	3004							
1	2774							
1	2856							
1	2713							
1	2706							
1	2646							
1	2690							
1	2476							
1	2696							
1	2647							
1	2833							
1	2732							
1	2744							
1	2758							
1	3050							
1	3088							
1	2934							
1	2739							
1	3913							
1	2756							
1	3094							
1	2758							
1	2937							
1	2826							
1	3096							
1	2970							
1	2770							
1	2638							
1	2596							
1	2961							
1	2739							
1	2687							
1	2699							
1	2697							
1	2849							
1	2400							
1	2561							
1	2782							
1	2767							
1	2533							
1	2664							
1	2445							
1	2732							
1	2561							
1	2586							
1	3227							
1	2431							
1	2891							
1	2986							
1	3227							
1	3320							
1	3460							
1	2539							
1	2605							
1	2421							
1	3267							
1	4111							
1	2419							
1	2532							
1	2586							
1	2424							
1	2499							
1	2382							
1	2747							
1	2679							
1	2559							
1	2763							
1	2594							
1	2482							
1	2483							
1	2493							
1	2402							
1	2596							
1	2351							
1	2352							
1	2796							
1	2566							
1	2448							
1	2406							
1	3526							
1	2494							
1	2445							
1	2621							
1	2742							
1	2586							
1	2562							
1	2405							
1	2630							
1	2515							
1	2513							
1	2496							
1	2303							
1	2542							
1	2341							
1	2466							
1	2371							
1	2571							
1	2407							
1	2516							
1	2605							
1	2415							
1	2462							
1	2347							
1	2510							
1	2713							
1	2431							
1	2540							
1	3604							
1	2338							
1	2654							
1	2606							
1	2549							
1	2784							
1	2730							
1	2928							
1	2612							
1	3596							
1	2496							
1	2911							
1	3376							
1	2622							
1	2818							
1	2647							
1	2741							
1	2940							
1	2602							
1	2879							
1	2808							
1	3419							
1	2762							
1	3634							
1	2721							
1	2374							
1	2841							
1	2459							
1	2577							
1	2367							
1	2510							
1	2717							
1	2490							
1	2672							
1	2355							
1	2686							
1	3160							
1	3034							
1	3227							
1	3364							
1	2499							
1	2518							
1	2765							
1	2985							
1	3343							
1	2243							
1	2520							
1	2535							
1	2390							
1	2740							
1	2723							
1	2524							
1	2644							
1	2987							
1	2596							
1	2823							
1	2784							
1	2764							
1	2714							
1	2982							
1	2718							
1	2887							
1	2637							
1	2334							
1	2643							
1	2574							
1	2625							
1	2772							
1	2562							
1	2441							
1	2526							
1	2677							
1	2576							
1	2632							
1	2876							
1	2628							
1	2700							
1	3768							
1	2646							
1	2359							
1	3608							
1	2418							
1	2792							
1	2850							
1	2506							
1	2331							
1	2397							
1	2613							
1	2465							
1	2770							
1	2677							
1	2593							
1	2568							
1	2596							
1	2654							
1	2928							
1	2689							
1	2657							
1	2407							
1	2788							
1	2618							
1	2472							
1	2772							
1	2521							
1	2596							
1	2766							
1	2815							
1	2786							
1	2592							
1	2660							
1	2718							
1	2748							
1	2576							
1	2632							
1	2810							
1	2706							
1	2503							
1	2703							
1	2519							
1	2715							
1	2745							
1	2520							
1	2659							
1	2472							
1	2635							
1	2524							
1	2657							
1	2568							
1	2802							
1	2522							
1	2425							
1	2661							
1	2843							
1	2983							
1	2774							
1	2667							
1	2827							
1	2701							
1	2478							
1	2588							
1	2615							
1	2467							
1	3339							
1	2727							
1	2866							
1	3323							
1	3319							
1	2890							
1	3374							
1	3314							
1	2765							
1	2891							
1	3353							
1	2842							
1	3480							
1	3900							
1	3255							
1	2802							
1	2725							
1	2789							
1	3003							
1	2853							
1	2933							
1	3115							
1	2854							
1	4130							
1	2982							
1	2853							
1	2723							
1	2786							
1	3918							
1	2909							
1	2791							
1	2942							
1	3108							
1	4234							
1	3156							
1	3059							
1	2914							
1	3193							
1	3011							
1	2987							
1	2939							
1	2978							
1	3311							
1	3070							
1	3251							
1	3042							
1	2920							
1	3154							
1	3297							
1	2934							
1	3423							
1	3563							
1	3554							
1	3374							
1	2815							
1	2807							
1	3064							
1	3285							
1	3351							
1	2823							
1	2731							
1	4115							
1	2917							
1	2588							
1	2523							
1	2822							
1	3037							
1	3115							
1	2513							
1	2916							
1	2868							
1	2804							
1	2920							
1	3056							
1	2916							
1	3064							
1	3129							
1	2517							
1	3013							
1	2350							
1	3122							
1	2497							
1	2472							
1	2376							
1	2549							
1	3582							
1	2489							
1	2452							
1	2553							
1	2451							
1	2502							
1	2719							
1	2514							
1	2455							
1	2581							
1	2514							
1	2475							
1	2731							
1	2536							
1	2557							
1	2577							
1	2669							
1	2441							
1	3558							
1	2579							
1	2604							
1	2533							
1	2581							
1	2393							
1	2498							
1	2683							
1	2636							
1	2456							
1	2437							
1	2742							
1	2632							
1	2533							
1	2594							
1	2554							
1	2663							
1	2510							
1	2314							
1	2911							
1	2815							
1	2656							
1	2620							
1	2607							
1	2823							
1	2579							
1	2434							
1	2483							
1	2439							
1	2488							
1	2667							
1	2514							
1	2591							
1	2525							
1	2605							
1	2524							
1	2641							
1	2635							
1	2471							
1	2700							
1	2544							
1	2613							
1	2721							
1	2507							
1	2508							
1	2433							
1	2707							
1	2545							
1	2463							
1	2627							
